DLC;Errors;Burst;Undetected_Errors
1;6;9;0
1;6;10;0
1;6;11;0
1;6;12;0
1;6;13;0
1;6;14;0
1;6;15;0
1;6;16;0
1;6;17;0
1;6;18;0
1;6;19;0
1;6;20;0
1;6;21;0
1;6;22;0
1;6;23;126
1;6;24;234
1;6;25;283
1;6;26;355
1;6;27;370
1;6;28;400
1;6;29;518
1;6;30;492
1;7;7;0
1;7;8;0
1;7;9;0
1;7;10;0
1;7;11;0
1;7;12;0
1;7;13;0
1;7;14;0
1;7;15;0
1;7;16;0
1;7;17;0
1;7;18;0
1;7;19;0
1;7;20;0
1;7;21;0
1;7;22;0
1;7;23;0
1;7;24;0
1;7;25;0
1;7;26;0
1;7;27;0
1;7;28;0
1;7;29;0
1;7;30;0
1;8;8;0
1;8;9;0
1;8;10;0
1;8;11;0
1;8;12;0
1;8;13;0
1;8;14;0
1;8;15;0
1;8;16;758
1;8;17;799
1;8;18;694
1;8;19;676
1;8;20;773
1;8;21;713
1;8;22;682
1;8;23;664
1;8;24;626
1;8;25;612
1;8;26;637
1;8;27;678
1;8;28;568
1;8;29;617
1;8;30;639
1;9;9;0
1;9;10;0
1;9;11;0
1;9;12;0
1;9;13;0
1;9;14;0
1;9;15;0
1;9;16;0
1;9;17;0
1;9;18;0
1;9;19;0
1;9;20;0
1;9;21;0
1;9;22;0
1;9;23;0
1;9;24;0
1;9;25;0
1;9;26;0
1;9;27;0
1;9;28;0
1;9;29;0
1;9;30;0
1;10;10;0
1;10;11;0
1;10;12;0
1;10;13;0
1;10;14;0
1;10;15;0
1;10;16;0
1;10;17;545
1;10;18;667
1;10;19;723
1;10;20;771
1;10;21;693
1;10;22;736
1;10;23;746
1;10;24;725
1;10;25;637
1;10;26;658
1;10;27;635
1;10;28;579
1;10;29;605
1;10;30;602
1;11;11;0
1;11;12;0
1;11;13;0
1;11;14;0
1;11;15;0
1;11;16;0
1;11;17;0
1;11;18;0
1;11;19;0
1;11;20;0
1;11;21;0
1;11;22;0
1;11;23;0
1;11;24;0
1;11;25;0
1;11;26;0
1;11;27;0
1;11;28;0
1;11;29;0
1;11;30;0
1;12;12;0
1;12;13;0
1;12;14;0
1;12;15;0
1;12;16;0
1;12;17;0
1;12;18;0
1;12;19;0
1;12;20;147
1;12;21;403
1;12;22;489
1;12;23;518
1;12;24;524
1;12;25;543
1;12;26;572
1;12;27;587
1;12;28;578
1;12;29;607
1;12;30;606
1;13;13;0
1;13;14;0
1;13;15;0
1;13;16;0
1;13;17;0
1;13;18;0
1;13;19;0
1;13;20;0
1;13;21;0
1;13;22;0
1;13;23;0
1;13;24;0
1;13;25;0
1;13;26;0
1;13;27;0
1;13;28;0
1;13;29;0
1;13;30;0
1;14;14;0
1;14;15;0
1;14;16;0
1;14;17;0
1;14;18;3297
1;14;19;2539
1;14;20;1578
1;14;21;955
1;14;22;805
1;14;23;699
1;14;24;654
1;14;25;619
1;14;26;630
1;14;27;592
1;14;28;571
1;14;29;608
1;14;30;604
1;15;15;0
